dialect_code,variant_name
00540,Tirio
00542,Concepcion Jacalteco
00542,Eastern Jacalteco
00542,Eastern Jakalteko
00542,Jacalteca
00542,Jacalteco
00542,Jacalteco: Concepcion
00542,"Jacalteco, Eastern"
00542,Jacalteco: Eastern
00542,Jakalteko: Eastern
00542,Popti
00542,Popti'
00542,Popti': Eastern
00543,Lewada-Dewara: Balamula
00543,Lewada-Dewara: Mataru
00543,Riang
00546,Mutu: Tuam
00548,Chimbu
00548,Kuman: Ega
00548,Kuman of Ega
00548,Simbu
00552,Nobone
00552,Sinaugoro: Wiga
00552,Wiga & Nobone
00555,Arop-Lokep
00555,Arop-Lokep: Arop
00555,Lokep
00555,Lukep
00555,Moromiranga
00555,Pono
00555,Poono
00555,Poonoo
00555,Siasi
00555,Siassi
00555,Tolokiwa
00560,Bamu Kiwai
00560,Bamu: Pirupiru
00565,Kucong
00565,Lahu Shi
00565,Lahu: Yellow
00565,ลาหู่เหลือง
00565,苦聪
00565,苦聰
00566,Lahunyi
00566,Lahu Nyi
00566,Lahu: Nyi
00566,Lahu: Red
00566,Luhishi
00566,Luhushi
00566,Musseh Daeng
00566,Red Lahu
00566,Southern Lahu
00566,ล่าหู่นี
00566,拉祜
00569,Boiken: Yangoru
00569,Boikin
00569,Central Boikin
00569,Yangaru
00573,Berawan: Batu Belah
00573,Berawan: Batu Bla
00573,"Berawan, Central: Batu Belah"
00573,Kenyah: Batu Belah
00574,Berawan: Long Patah
00574,Kenyah: Long Patah
00574,"Kenyah, Mainstream: Long Patah"
00583,Leipon: Pafulu
00583,Palopa
00583,Pitilu
00583,Pityilu
00587,Suain: Ulau
00587,ULAU II
00588,Ali
00588,Ali: Ali Island
00588,Yakamul
00588,Yakamul: Ali
00589,Northern One: Wolwale
00589,Walwali
00590,Soumo
00590,Suma Twaka
00590,Sumo
00590,Sumoo
00590,Sumo Tawahka
00590,Sumu
00590,Sumu Twàka
00590,Taguaca
00594,Manipuri Muslim
00594,Manipuri Musselmani
00594,Meitei: Pan-gal
00594,Meitei: Pangal
00594,Panal
00594,Panan
00594,Pangal
00594,Pangal: Muslim
00594,Pang-gal
00594,Pang-gan
00594,Tsimpshean
00594,मेतेई: पंगल
00597,"Bengali, Musalmani"
00597,Bengali: Musselmani
00597,Musselmani
00597,बंगाली: मुसल्मानी
00599,Kanowit
00599,"Melanau, Tanjong-Kanowit: Rajang"
00604,Derebai
00605,Manubara
00605,Maria
00605,Maria: Imila
00606,Binandere: Upper Musa
00606,Musa
00606,Ulawa Sina
00613,Tabo
00613,Waia
00613,Wawa
00615,Awad Bing: Biliau
00615,Awad Gey
00615,Bing
00615,Samang
00615,Semang
00615,Sengam
00616,Ami
00616,Bamu: Ta
00616,Dausame
